,Lien,Ville,Secteur,Marque,Modèle,Année-Modèle,Kilométrage,Type de carburant,Puissance fiscale,Boite de vitesses,Nombre de portes,Origine,Première main,État,Jantes aluminium,Airbags,Climatisation,Système de navigation/GPS,Toit ouvrant,Sièges cuir,Radar de recul,Caméra de recul,Vitres électriques,ABS,ESP,Régulateur de vitesse,Limiteur de vitesse,CD/MP3/Bluetooth,Ordinateur de bord,Verrouillage centralisé à distance,Prix
0,https://www.avito.ma/fr/massira_2/voitures/FIAT_PUNTO_49098076.htm,Temara,Massira 2,Fiat,Punto,2007,200 000 - 249 999,Diesel,5,Manuelle,5.0,WW au Maroc,Non,Très bon,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,60000
1,https://www.avito.ma/fr/temara/voitures/Dacia_dokker_van_49098070.htm,Temara,,Dacia,Dokker Van,2013,400 000 - 449 999,Diesel,6,Manuelle,3.0,WW au Maroc,Non,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,70000
2,https://www.avito.ma/fr/casablanca/voitures/Dacia_Dokker_49098065.htm,Casablanca,,Dacia,Dokker,2014,160 000 - 169 999,Diesel,6,Manuelle,5.0,WW au Maroc,,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,90000
3,https://www.avito.ma/fr/casablanca/voitures/touareg_r5_toutes_options_49098066.htm,Casablanca,,Volkswagen,Touareg,2005,0 - 4 999,Diesel,10,Automatique,5.0,WW au Maroc,Oui,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,90000
4,https://www.avito.ma/fr/dakhla/voitures/Toyota_Prado_VX_49098060.htm,Dakhla,,Toyota,Prado,2007,200 000 - 249 999,Diesel,12,Manuelle,5.0,WW au Maroc,Non,Excellent,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,97000
5,https://www.avito.ma/fr/khouribga/voitures/Tiguan_2l_tdi_140cv_49098057.htm,Khouribga,Toute la ville,Volkswagen,Tiguan,2014,180 000 - 189 999,Diesel,8,Automatique,5.0,Dédouanée,Non,Très bon,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,255000
6,https://www.avito.ma/fr/autre_secteur/voitures/peugeot_308_49098011.htm,Meknès,Autre secteur,Peugeot,308,2009,200 000 - 249 999,Diesel,6,Manuelle,5.0,WW au Maroc,Non,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,85000
7,https://www.avito.ma/fr/casablanca/voitures/Renault_Clio_Diesel_49098006.htm,Casablanca,,Renault,Clio,2014,75 000 - 79 999,Diesel,6,Manuelle,5.0,WW au Maroc,,Très bon,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,93000
8,https://www.avito.ma/fr/mohammedia/voitures/Peugeot_208_allure_49097962.htm,Mohammedia,,Peugeot,208,2021,10 000 - 14 999,Diesel,6,Manuelle,5.0,WW au Maroc,Oui,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,164000
9,https://www.avito.ma/fr/fquih_ben_saleh/voitures/golf_7_full_49097945.htm,Fquih Ben Saleh,,Volkswagen,GOLF 7,2013,120 000 - 129 999,Diesel,8,Automatique,5.0,Dédouanée,Non,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,198000
10,https://www.avito.ma/fr/zitoune/voitures/Dacia_Dokker_49097936.htm,Meknès,Zitoune,Dacia,Dokker,2016,110 000 - 119 999,Diesel,6,Manuelle,5.0,WW au Maroc,,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,114000
11,https://www.avito.ma/fr/f%C3%A8s/voitures/kongoo_Renault_49097929.htm,Fès,,Renault,Kangoo,2008,160 000 - 169 999,Diesel,6,--,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,70000
12,https://www.avito.ma/fr/ait_Melloul/voitures/FORD_KUGA_TITANIUM_4x4_presque_neuve_49097913.htm,Ait Melloul,Toute la ville,Ford,Kuga,2016,200 000 - 249 999,Diesel,8,Manuelle,5.0,WW au Maroc,Oui,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,180000
13,https://www.avito.ma/fr/t%C3%A9touan/voitures/Range_Rover_Sport_49097902.htm,Tétouan,,Land Rover,Range Rover Sport,2018,35 000 - 39 999,Diesel,12,--,,Importée neuve,Non,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,780000
14,https://www.avito.ma/fr/zemmouri/voitures/Citroen_Berlingo_49097887.htm,Tanger,Zemmouri,Citroen,Berlingo,2015,10 000 - 14 999,Essence,6,Manuelle,3.0,WW au Maroc,Non,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,105000
15,https://www.avito.ma/fr/ain_sebaa/voitures/Logan_Dacia_49097853.htm,Casablanca,Aïn Sebaâ,Dacia,Logan Mcv,2017,0 - 4 999,Diesel,5,Manuelle,5.0,WW au Maroc,Oui,Très bon,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,98000
