Marque,Modéle,Année-Modele,Kilométrage,Type de carburant,Puissance fiscale,Boite de vitesses,Nombre de portes,Origine,Premiére main,état,Airbags,Climatisation,ABS,ESP,CD/MP3/Bluetooth,Prix
fiat,punto,2007,225000,diesel,5,manuelle,5.0,ww au maroc,non,trés bon,False,True,True,False,True,60000
dacia,dokker van,2013,425000,diesel,6,manuelle,3.0,ww au maroc,non,excellent,False,False,False,False,False,70000
dacia,dokker,2014,165000,diesel,6,manuelle,5.0,ww au maroc,non spécifié,trés bon,False,False,False,False,False,90000
volkswagen,touareg,2005,2500,diesel,10,automatique,5.0,ww au maroc,oui,excellent,False,False,False,False,False,90000
toyota,prado,2007,225000,diesel,12,manuelle,5.0,ww au maroc,non,excellent,True,False,True,False,True,97000
peugeot,308,2009,225000,diesel,6,manuelle,5.0,ww au maroc,non,excellent,True,True,True,True,True,85000
renault,clio,2014,77500,diesel,6,manuelle,5.0,ww au maroc,non spécifié,trés bon,True,True,True,True,True,93000
peugeot,208,2021,12500,diesel,6,manuelle,5.0,ww au maroc,oui,excellent,True,True,True,True,True,164000
volkswagen,golf 7,2013,125000,diesel,8,automatique,5.0,dédouanée,non,excellent,True,True,True,True,True,198000
dacia,dokker,2016,115000,diesel,6,manuelle,5.0,ww au maroc,non spécifié,excellent,False,False,False,False,False,114000
renault,kangoo,2008,165000,diesel,6,--,5.0,non spécifié,non spécifié,non spécifié,False,False,False,False,False,70000
ford,kuga,2016,225000,diesel,8,manuelle,5.0,ww au maroc,oui,excellent,True,True,True,True,True,180000
citroen,berlingo,2015,12500,essence,6,manuelle,3.0,ww au maroc,non,trés bon,False,False,False,False,False,105000
dacia,logan mcv,2017,2500,diesel,5,manuelle,5.0,ww au maroc,oui,trés bon,True,True,True,False,True,98000
ford,focus,2014,195000,diesel,6,manuelle,5.0,ww au maroc,non,trés bon,True,True,True,False,True,128000
peugeot,301,2018,52500,diesel,6,manuelle,5.0,ww au maroc,non,trés bon,False,False,False,False,False,107000
mercedes-benz,220,1998,325000,diesel,9,manuelle,5.0,dédouanée,non,excellent,False,True,True,True,True,87000
volkswagen,polo,2014,32500,diesel,5,--,5.0,non spécifié,non spécifié,non spécifié,False,False,False,False,False,120000
hyundai,i 30,2011,115000,diesel,6,manuelle,5.0,non spécifié,non spécifié,non spécifié,False,False,False,False,False,89000
opel,astra,2011,225000,diesel,7,manuelle,5.0,ww au maroc,non,bon,False,False,False,False,False,83000
suzuki,grand vitara,2009,22500,diesel,7,manuelle,5.0,ww au maroc,non,excellent,True,True,True,False,True,90000
opel,astra,2018,32500,diesel,6,--,5.0,non spécifié,non spécifié,non spécifié,False,False,False,False,False,185000
ford,fiesta,2017,82500,diesel,6,manuelle,5.0,ww au maroc,oui,excellent,True,True,True,True,True,102000
hyundai,h-1,2009,325000,diesel,10,manuelle,5.0,ww au maroc,non,bon,False,True,False,False,True,83000
renault,clio,2014,145000,diesel,6,manuelle,5.0,ww au maroc,non,excellent,True,True,True,False,True,104000
citroen,berlingo,2011,2500,diesel,7,manuelle,5.0,ww au maroc,oui,bon,True,False,True,False,True,88000
peugeot,308,2017,115000,diesel,6,automatique,5.0,ww au maroc,oui,excellent,True,True,True,True,True,145000
volkswagen,golf 6,2009,275000,diesel,8,manuelle,5.0,dédouanée,non,trés bon,True,True,True,True,True,110000
audi,a3,2015,135000,diesel,6,automatique,5.0,dédouanée,oui,trés bon,True,True,True,False,False,220000
renault,kangoo,2019,97500,diesel,6,manuelle,5.0,ww au maroc,non,excellent,True,True,True,False,True,127000
audi,a3,2008,225000,diesel,8,automatique,5.0,importée neuve,non,excellent,True,True,True,True,True,92000
renault,kangoo,2010,105000,diesel,6,manuelle,3.0,ww au maroc,oui,trés bon,True,True,False,False,True,65000
volkswagen,bora,1999,225000,diesel,8,manuelle,5.0,non spécifié,non spécifié,non spécifié,False,False,False,False,False,62000
renault,clio,2018,67500,diesel,6,manuelle,5.0,ww au maroc,oui,trés bon,False,True,True,True,True,102000
renault,kangoo,2006,7500,diesel,7,manuelle,5.0,ww au maroc,non,trés bon,True,True,False,False,False,70000
skoda,octavia,2017,145000,diesel,8,automatique,5.0,non spécifié,non,non spécifié,False,False,False,False,False,178000
citroen,c3,2019,57500,diesel,6,manuelle,5.0,ww au maroc,oui,excellent,True,True,True,True,True,110000
nissan,qashqai,2009,275000,diesel,6,manuelle,5.0,dédouanée,non,trés bon,False,False,False,False,False,105000
alfa romeo,159,2007,225000,diesel,11,manuelle,5.0,ww au maroc,non,excellent,True,True,True,True,True,72000
nissan,qashqai,2009,275000,diesel,6,manuelle,5.0,dédouanée,non,trés bon,False,False,False,False,False,105000
peugeot,partner,2005,225000,diesel,7,manuelle,5.0,ww au maroc,non,excellent,False,False,False,False,False,60000
