Type,Localisation,Latitude,Longitude,Title,Price in DH,Tags,Tags_length,Area in m²,Rooms,Bedrooms,Bathrooms,Condition,Floor,House Age in ans
Appartements Casablanca,Casablanca Finance City à Casablanca,33.56170473792227,-7.630379283521052,Somptueux appartement à louer au tour végétal,22000.0,"['219 m²', '4 Pièces', '3 Chambres', '3 Salles de bains', 'Nouveau', ""Moins d'un an"", '11ème étage']",7,219.0,4.0,3.0,3.0,Nouveau,11.0,0
Appartements Casablanca,Anfa à Casablanca,33.56170473792227,-7.630379283521052,A vendre appartement 86m face ELBILIA lahjajma,1230000.0,"['86 m²', '3 Pièces', '2 Chambres', '2 Salles de bains', 'Bon état', '10-20 ans', '1er étage']",7,86.0,3.0,2.0,2.0,Bon état,1.0,15
Appartements Casablanca,La Gironde à Casablanca,33.56170473792227,-7.630379283521052,A vendre bel appartement 2 chambres Gironde,900000.0,"['86 m²', '3 Pièces', '2 Chambres', '1 Salle de bain', 'Bon état', '10-20 ans', '5ème étage']",7,86.0,3.0,2.0,1.0,Bon état,5.0,15
Appartements Casablanca,Bourgogne Ouest à Casablanca,33.56170473792227,-7.630379283521052,A vendre appartement 180m clinique Badr pas cher,2400000.0,"['180 m²', '5 Pièces', '3 Chambres', '3 Salles de bains', 'Bon état', '10-20 ans', '3ème étage']",7,180.0,5.0,3.0,3.0,Bon état,3.0,15
Appartements Casablanca,Les princesses à Casablanca,33.5742088,-7.644182400000005,Appartement 3 chambres yaacoub almansour pas cher,1550000.0,"['120 m²', '5 Pièces', '3 Chambres', '2 Salles de bains', 'Bon état', '5-10 ans', '5ème étage']",7,120.0,5.0,3.0,2.0,Bon état,5.0,7
Appartements Casablanca,Bourgogne Ouest à Casablanca,33.56170473792227,-7.630379283521052,A vendre bel appartement de 3 chambres BOURGOGNE,1450000.0,"['113 m²', '4 Pièces', '3 Chambres', '2 Salles de bains', 'Bon état', '10-20 ans', '1er étage']",7,113.0,4.0,3.0,2.0,Bon état,1.0,15
Appartements Casablanca,Triangle d'Or à Casablanca,33.582734173084866,-7.675838470458984,Appartement luxe à vendre Triangle d'or,4800000.0,"['245 m²', '4 Pièces', '3 Chambres', '3 Salles de bains', 'Bon état', '10-20 ans', '3ème étage']",7,245.0,4.0,3.0,3.0,Bon état,3.0,15
Appartements Casablanca,Maârif Extension à Casablanca,33.56170473792227,-7.630379283521052,Joli appartement romandie 2 a vendre,1700000.0,"['110 m²', '3 Pièces', '2 Chambres', '2 Salles de bains', 'Bon état', '20-30 ans']",6,110.0,3.0,2.0,2.0,Bon état,3.0,25
Appartements Casablanca,Anassi à Casablanca,33.56170473792227,-7.630379283521052,Superbe appartement à vendre à Anassi alliance,330000.0,"['50 m²', '3 Pièces', '2 Chambres', '1 Salle de bain', 'Bon état', '5-10 ans', '1er étage']",7,50.0,3.0,2.0,1.0,Bon état,1.0,7
Villas & maisons de luxe Casablanca,Californie à Casablanca,33.53595755299843,-7.625627517700195,Vente villa 400m² avec jardin Californie,7500000.0,"['400 m²', '8 Pièces', '5 Chambres', '4 Salles de bains', 'Bon état']",5,400.0,8.0,5.0,4.0,Bon état,3.0,15
